hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,policy,run,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta,action_dim,state_dim
0.6525,0.3475,0.0539568345323741,0.9460431654676259,0.0,0.9280575539568345,6.966284631699051,20.04686224949367,0.0997662364867357,800,522,278,15,278,eval,topk,38,,,,,,,,,,,,,,,,,,,,,,,
0.64625,0.35375,0.0,1.0,0.0,0.6042402826855123,7.096916027114725,20.06195343353986,0.09969118942606914,800,517,283,0,283,eval,topk,39,,,,,,,,,,,,,,,,,,,,,,,
0.6475,0.3525,0.18439716312056736,0.8156028368794326,0.0,0.7092198581560284,7.2727197566894315,20.631829096991293,0.09693760018066729,800,518,282,52,282,eval,topk,40,,,,,,,,,,,,,,,,,,,,,,,
0.635,0.365,0.09931506849315068,0.9006849315068494,0.0,0.7636986301369864,7.139245217254158,19.559575937682624,0.1022517055774654,800,508,292,29,292,eval,topk,41,,,,,,,,,,,,,,,,,,,,,,,
0.65625,0.34375,0.10545454545454545,0.8945454545454545,0.0,0.8472727272727273,7.145643546426519,20.78732668051351,0.09621246785306181,800,525,275,29,275,eval,topk,42,,,,,,,,,,,,,,,,,,,,,,,
0.6525,0.3475,0.0,1.0,0.0,0.5251798561151079,7.174635074373705,20.64643186870131,0.09686903832675679,800,522,278,0,278,eval,topk,43,,,,,,,,,,,,,,,,,,,,,,,
0.6175,0.3825,0.0784313725490196,0.9215686274509803,0.0,0.6830065359477124,6.763555864772854,17.682498992870208,0.11310618486710637,800,494,306,24,306,eval,topk,44,,,,,,,,,,,,,,,,,,,,,,,
0.63875,0.36125,0.2179930795847751,0.7820069204152249,0.0,0.5951557093425606,6.943240005390593,19.220041537413405,0.10405804774702666,800,511,289,63,289,eval,topk,45,,,,,,,,,,,,,,,,,,,,,,,
0.67625,0.32375,0.1776061776061776,0.8223938223938224,0.0,0.6216216216216216,7.66936306562613,23.689152326258316,0.08442682846794368,800,541,259,46,259,eval,topk,46,,,,,,,,,,,,,,,,,,,,,,,
0.67125,0.32875,0.23574144486692014,0.7642585551330798,0.0,0.5665399239543726,7.313758615828435,22.247174496816534,0.08989905663239126,800,537,263,62,263,eval,topk,47,,,,,,,,,,,,,,,,,,,,,,,
