hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,policy,run,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta
0.76,0.24,0.1875,0.9166666666666666,1.0,0.0,7.906713022809312,65.8892751900776,0.03035395357181261,200,152,24,9,0,eval,topk,78,,,,,,,,,,,,,,,,,,,,,
0.66,0.34,0.17647058823529413,0.9411764705882353,1.0,0.0,7.036283794456998,41.38990467327646,0.048320961736626256,200,132,34,12,0,eval,topk,79,,,,,,,,,,,,,,,,,,,,,
0.71,0.29,0.20689655172413793,0.896551724137931,1.0,0.0,7.375501204881449,50.86552555090655,0.039319361755112255,200,142,29,12,0,eval,topk,80,,,,,,,,,,,,,,,,,,,,,
0.735,0.265,0.24074074074074073,0.8518518518518519,1.0,0.0,7.584738368487756,56.183247173983375,0.03559780006674542,200,147,27,13,0,eval,topk,81,,,,,,,,,,,,,,,,,,,,,
0.715,0.285,0.25862068965517243,0.8275862068965517,1.0,0.0,7.415190502771997,51.139244846703434,0.039108907571773134,200,143,29,15,0,eval,topk,82,,,,,,,,,,,,,,,,,,,,,
0.7,0.3,0.26666666666666666,0.8333333333333334,1.0,0.0,7.283720243450673,48.55813495633782,0.04118774334719294,200,140,30,16,0,eval,topk,83,,,,,,,,,,,,,,,,,,,,,
0.715,0.285,0.1896551724137931,0.896551724137931,1.0,0.0,7.426569536416059,51.21772094080041,0.039048984672935445,200,143,29,11,0,eval,topk,84,,,,,,,,,,,,,,,,,,,,,
0.71,0.29,0.29310344827586204,0.7931034482758621,1.0,0.0,7.426284238489227,51.21575336889122,0.03905048483021657,200,142,29,17,0,eval,topk,85,,,,,,,,,,,,,,,,,,,,,
0.675,0.325,0.22727272727272727,0.8484848484848485,1.0,0.0,7.122376162583418,43.1659161368692,0.046332851911643894,200,135,33,15,0,eval,topk,86,,,,,,,,,,,,,,,,,,,,,
0.735,0.265,0.25925925925925924,0.8888888888888888,1.0,0.0,7.645469739332673,56.63310918024202,0.035315030888287406,200,147,27,14,0,eval,topk,87,,,,,,,,,,,,,,,,,,,,,
0.69,0.31,0.24193548387096775,0.9032258064516129,1.0,0.0,7.294224541468647,47.05951317076546,0.04249937717677984,200,138,31,15,0,eval,topk,88,,,,,,,,,,,,,,,,,,,,,
0.74,0.26,0.34615384615384615,0.7692307692307693,1.0,0.0,7.613136950383947,58.562591926030365,0.0341514938841193,200,148,26,18,0,eval,topk,89,,,,,,,,,,,,,,,,,,,,,
