seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,noma_success_rate,avg_ber,avg_ber_weak,avg_ber_strong,cumulative_reward,policy,total_transmissions,outages,q_table_size,final_epsilon,cache_contents_count
2040,10000,5572,0.5572,4428.0,0.3699186991869919,2214.0,0.0,576.0,1638.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2041,10000,5659,0.5659,4341.0,0.4998848191660908,2170.0,1.0,0.0,2170.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2042,10000,5464,0.5464,4536.0,0.5,2268.0,0.0,0.0,2268.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(9), np.int32(8)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2043,10000,5456,0.5456,4544.0,0.45840669014084506,2272.0,0.0,189.0,2083.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2044,10000,5617,0.5617,4383.0,0.36892539356605064,2191.0,1.0,574.0,1617.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,random,,,,,
2025,10000,5367,0.5367,,0.3406000431685733,,,,,,,0.6593999568314267,0.21810641249936413,0.3723228983767102,0.0638899266220181,-22113.0,rl_dqn_noma,4633.0,1578.0,64.0,0.01,200.0
2026,10000,5301,0.5301,,0.3688018727388806,,,,,,,0.6311981272611193,0.2240219807891318,0.3810810340429019,0.0669629275353617,-23500.0,rl_dqn_noma,4699.0,1733.0,63.0,0.01,200.0
2027,10000,5493,0.5493,,0.3911692922121145,,,,,,,0.6088307077878855,0.22893266617614655,0.38748704142947843,0.07037829092281468,-23362.0,rl_dqn_noma,4507.0,1763.0,55.0,0.01,200.0
2028,10000,5456,0.5456,,0.3591549295774648,,,,,,,0.6408450704225352,0.22251573701620875,0.3773686463692263,0.06766282766319118,-22692.0,rl_dqn_noma,4544.0,1632.0,66.0,0.01,200.0
2029,10000,5413,0.5413,,0.3701765860039241,,,,,,,0.6298234139960759,0.22709615430677907,0.3835072983469112,0.0706850102666469,-23491.0,rl_dqn_noma,4587.0,1698.0,57.0,0.01,200.0
2030,10000,5455,0.5455,,0.3900990099009901,,,,,,,0.6099009900990099,0.23732469786701965,0.39814652063431943,0.07650287509971988,-23768.0,rl_dqn_noma,4545.0,1773.0,63.0,0.01,200.0
2031,10000,5425,0.5425,,0.3571584699453552,,,,,,,0.6428415300546448,0.21865556540097203,0.3727069723253512,0.06460415847659284,-22535.0,rl_dqn_noma,4575.0,1634.0,68.0,0.01,200.0
2032,10000,5470,0.547,,0.36600441501103753,,,,,,,0.6339955849889625,0.2233444175822679,0.37899694100889253,0.06769189415564326,-22718.0,rl_dqn_noma,4530.0,1658.0,62.0,0.01,200.0
2033,10000,5420,0.542,,0.3460698689956332,,,,,,,0.6539301310043668,0.22002716254939503,0.37469016878207695,0.06536415631671308,-22207.0,rl_dqn_noma,4580.0,1585.0,67.0,0.01,200.0
2034,10000,5430,0.543,,0.37636761487964987,,,,,,,0.6236323851203501,0.23123194781394393,0.3899076827779101,0.07255621284997778,-23298.0,rl_dqn_noma,4570.0,1720.0,60.0,0.01,200.0
2035,10000,5340,0.534,,0.3446351931330472,,,,,,,0.6553648068669528,0.21607000218888267,0.36944571840526297,0.06269428597250234,-22238.0,rl_dqn_noma,4660.0,1606.0,72.0,0.01,200.0
2036,10000,5504,0.5504,,0.3349644128113879,,,,,,,0.6650355871886121,0.21552621444710007,0.36885864032283794,0.06219378857136221,-21294.0,rl_dqn_noma,4496.0,1506.0,59.0,0.01,200.0
2037,10000,5347,0.5347,,0.336127229744251,,,,,,,0.663872770255749,0.21471513670314823,0.36719552908378067,0.062234744322515814,-22259.0,rl_dqn_noma,4653.0,1564.0,66.0,0.01,200.0
