snr_db,pa_method,sum_rate_mean,sum_rate_std,outage_weak_mean,outage_weak_std,outage_strong_mean,outage_strong_std,ber_weak_mean,ber_weak_std,ber_strong_mean,ber_strong_std,cache_hit_weak_mean,cache_hit_weak_std,cache_hit_strong_mean,cache_hit_strong_std,energy_mean,energy_std,cic_opportunity_mean,cic_opportunity_std,cic_benefit_mean,cic_benefit_std,sic_success_mean,sic_success_std,outage_prob,cache_hit_rate,cic_benefit_rate,energy_efficiency,label
-10,cache_aware,10.96,6.8390016733274415,0.46,0.4988965780511852,0.444,0.49735170396297,0.19622016091150485,0.21457696520308916,0.15220509436676447,0.17341928483159091,0.54,0.49889657805118515,0.556,0.49735170396297,1.428,0.9046838706485395,0.524,0.49992384189533395,0.0,0.0,0.286,0.45234193532426964,0.452,0.548,0.0,7.675070028011205,Hybrid CIC
-8,cache_aware,12.106221833793992,7.118082590353124,0.392,0.48868561187588594,0.378,0.48537323200676963,0.1601795756348917,0.20188556381683495,0.12074852300887734,0.15212287637028785,0.608,0.48868561187588594,0.602,0.489975665012671,1.24,0.9717451194394077,0.45,0.4979919597583559,0.02,0.14014021035061358,0.428,0.49528437611785503,0.385,0.605,0.044444444444444446,9.763082124027413,Hybrid CIC
-6,cache_aware,10.68432973207362,7.127002226529803,0.452,0.4981891054303969,0.258,0.4379721900743894,0.1780850018084267,0.2001357067944318,0.12928949644299242,0.1395910861008631,0.548,0.4981891054303969,0.512,0.5003565862730835,1.424,0.9065692116275192,0.484,0.5002444292323062,0.164,0.37064640496709267,0.546,0.4983781310642012,0.355,0.53,0.3388429752066116,7.503040542186531,Hybrid CIC
-4,cache_aware,11.369668267821949,6.9177180368314595,0.384,0.4868449815620413,0.066,0.24853075276540784,0.1486025322692418,0.18276648067343704,0.09885507662056264,0.116979956544259,0.586,0.49304176330278704,0.53,0.49959903762596813,1.376,0.927547674989678,0.492,0.5004366830554041,0.286,0.45234193532426964,0.65,0.47744728695809685,0.225,0.558,0.5813008130081301,8.262840310917113,Hybrid CIC
-2,cache_aware,10.995377885456621,6.775964015242386,0.318,0.4661658730993561,0.04,0.19615543303160288,0.14341501062337722,0.1705163283680048,0.07841828424756422,0.09697300721468206,0.55,0.4979919597583559,0.514,0.5003045164881453,1.448,0.8949289332629615,0.512,0.5003565862730835,0.388,0.48778259883625913,0.696,0.4604432821011336,0.179,0.532,0.7578125,7.593493014818108,Hybrid CIC
0,cache_aware,11.312323140013694,6.8941343777480775,0.286,0.4523419353242696,0.028,0.16513794561567105,0.12641026794604657,0.15730521072297948,0.05410906834679861,0.07770237231959194,0.562,0.4966379955230917,0.52,0.5001001903626928,1.396,0.9191701406676512,0.478,0.5000160318071094,0.382,0.4863631340843925,0.78,0.4146611722545904,0.157,0.541,0.799163179916318,8.103383338118691,Hybrid CIC
2,cache_aware,11.320121432818242,6.471984610406689,0.23,0.4212539730609544,0.038,0.19138771777999253,0.11581173442670586,0.14844961573440826,0.03773986472209611,0.07994934288985961,0.538,0.4990532118085534,0.522,0.5000160318071094,1.468,0.8846135213551332,0.528,0.4997153498360075,0.44,0.49688407860903566,0.856,0.3514413493658482,0.134,0.53,0.8333333333333333,7.711254382028775,Hybrid CIC
4,cache_aware,11.810898830222344,6.3911976890548345,0.22,0.4146611722545904,0.028,0.16513794561567102,0.10717280639412828,0.14455401513133187,0.020261483194857547,0.06566561441661015,0.53,0.49959903762596813,0.56,0.49688407860903566,1.424,0.9065692116275192,0.514,0.5003045164881453,0.428,0.49528437611785503,0.95,0.2181632195874491,0.124,0.545,0.8326848249027237,8.294170526841533,Hybrid CIC
6,cache_aware,12.44375924871506,6.320915067351221,0.14,0.3473345398389429,0.032,0.1761762644407714,0.07560361416233724,0.11981223212667307,0.01612663183017911,0.06516363066765136,0.582,0.49372414064344494,0.544,0.4985590458957585,1.368,0.9307570129923647,0.494,0.5004647139007099,0.44,0.49688407860903566,0.986,0.11760809209681664,0.08600000000000001,0.563,0.8906882591093117,9.096315240288787,Hybrid CIC
8,cache_aware,12.433419329364973,6.305818299093384,0.124,0.32991162963244175,0.038,0.19138771777999253,0.07369408666586073,0.12462149200946404,0.015003936386213067,0.06769846756283747,0.524,0.4999238418953339,0.572,0.4952843761178551,1.38,0.9259128626704118,0.476,0.4999238418953339,0.432,0.4958505172639653,1.0,0.0,0.081,0.548,0.907563025210084,9.00972415171375,Hybrid CIC
